Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.231,250.763,62,255,180,4.683,0.21353833,,
0.081,234.471,3,255,180,1.61,0.621118012,,
0.117,235.755,17,255,180,2.341,0.427167877,,
0.102,248.698,93,255,180,2.049,0.488042948,,
0.071,226.267,22,255,180,1.415,0.706713781,,
0.021,204.333,87,255,180,0.39,2.564102564,,
0.05,221.857,63,255,180,0.976,1.024590164,,
0.036,188.467,36,255,180,0.683,1.464128843,,
0.067,207.357,0,255,180,1.317,0.759301443,,
0.095,250.275,212,255,180,1.902,0.525762355,,
0.024,218.7,97,255,180,0.439,2.277904328,,
0.033,136.714,3,255,180,0.634,1.577287066,,
0.04,237.118,77,255,180,0.78,1.282051282,,
0.119,238.34,12,255,180,2.39,0.418410042,,
0.059,248.24,168,255,180,1.171,0.853970965,,
